论文标题 (Title),年份,期刊/会议,核心方程 (Target Equation),解决痛点 (Pain Point),核心方法 (Method)
"Physics-Informed neural network solver for geoengineering",2024,T&F,"地球与气候","岩土工程","Mesh-free"
"Multi-output physics-informed neural networks for inverse problems",2022,CMAME,"反问题","多物理场","Multi-output"
"A-PINN: Auxiliary physics informed neural networks",2022,JCP,"反问题","积分方程","Auxiliary Net"
"HomPINNs: Homotopy physics-informed neural networks",2023,arXiv,"反问题","多解问题","Homotopy"
"An enhanced hybrid adaptive physics-informed neural network",2025,Applied Intel.,"反问题","参数识别","GA + Adam"
"RPINNs: Rectified-physics informed neural networks",2022,Computers & Fluids,"反问题","噪声数据","Rectified Loss"
"Kolmogorov–Arnold-informed neural network",2025,CMAME,"通用/理论","架构创新","KAN"
"CoPINN: Cognitive physics-informed neural networks",2025,ICML,"通用/理论","认知推理","Cognitive"
"CuPINN: Optimizing PINNs through curvature minimization",2025,CMAME,"通用/理论","优化","Curvature Min"
"Gradient Alignment in Physics-informed Neural Networks",2025,NeurIPS,"通用/理论","多目标优化","Gradient Alignment"
"Variational physics-informed neural operator (VINO)",2025,CMAME,"通用/理论","算子学习","Variational"
"PINNsFormer: A Transformer-Based Framework",2024,Springer,"通用/理论","架构创新","Transformer"
"Hybrid Finite-Difference PINN (HFD-PINN)",2025,AIAA,"通用/理论","混合方法","FDM + PINN"
"Multi-head physics-informed neural networks for uncertainty",2025,JCP,"通用/理论","不确定性","Multi-head"
"Physics-Informed Neural Networks for Advanced Thermal Profile",2025,Preprints,"通用/理论","热能","Fourier"
"Deep hidden physics models",2018,JMLR,"通用/理论","基础","MLP"
"Parallel physics-informed neural networks",2021,JCP,"通用/理论","并行化","Domain Decomposition"
"Exact imposition of boundary conditions",2022,CMAME,"通用/理论","边界条件","Distance Function"
"Gradient-enhanced physics-informed neural networks",2022,CMAME,"通用/理论","收敛性","gPINN"
"PPINN: Parareal physics-informed neural network",2020,CMAME,"通用/理论","时间并行","Parareal"
"CAN-PINN: Coupled-automatic–numerical differentiation",2022,CMAME,"通用/理论","效率","Hybrid Diff"
"Physics-augmented learning",2021,NeurIPS,"通用/理论","泛化","Augmented Loss"
"Robust learning of physics informed neural networks",2021,arXiv,"通用/理论","鲁棒性","Robust Optimization"
"Learning PINNs without stacked back-propagation",2023,AISTATS,"通用/理论","效率","Discrete Grad"
"NeuralPDE: Automating PINNs",2021,arXiv,"通用/理论","自动化","Library"
"Physics informed RNN-DCT networks",2022,ICCS,"通用/理论","时空","RNN-DCT"
"A mixed formulation for PINNs",2022,CMAME,"通用/理论","非均质","Mixed Form"
"PINN combined with polynomial interpolation",2023,Computers & Math,"通用/理论","精度","Polynomial"
"Physics-informed neural operator (PINO)",2021,arXiv,"通用/理论","算子","PINO"
"Anisotropic, sparse and interpretable PINNs",2022,arXiv,"通用/理论","可解释","Sparse"
"Fast neural network based solving of PDEs",2022,arXiv,"通用/理论","效率","ELM"
"Learning differentiable solvers with hard constraints",2022,arXiv,"通用/理论","约束","Hard Constraints"
"Momentum diminishes spectral bias",2022,arXiv,"通用/理论","谱偏差","Momentum"
"Δ-PINNs: PINNs on complex geometries",2022,arXiv,"通用/理论","几何","Coordinate Trans"
"Replacing automatic differentiation by Sobolev Cubatures",2022,arXiv,"通用/理论","效率","Sobolev"
"FO-PINNs: First-order formulation",2022,arXiv,"通用/理论","优化","First-order"
"Augmented PINNs (APINNs)",2022,arXiv,"通用/理论","域分解","Gating"
"PINNs for operator equations with stochastic data",2022,arXiv,"通用/理论","随机","Stochastic"
"PINNs with unknown measurement noise",2022,arXiv,"通用/理论","噪声","Bayesian"
"On the compatibility between NN and PDE",2022,arXiv,"通用/理论","理论","Compatibility"
"Pre-training strategy for evolution equations",2022,arXiv,"通用/理论","预训练","Transfer Learning"
"L-HYDRA: Multi-head PINNs",2023,arXiv,"通用/理论","多尺度","Multi-head"
"PINN for dynamical PDEs (Advection)",2023,arXiv,"通用/理论","训练动态","Analysis"
"Wavelets based PINNs",2023,Scientific Reports,"通用/理论","基函数","Wavelet"
"Adaptive weighting of Bayesian PINNs",2023,arXiv,"通用/理论","加权","Bayesian"
"Efficient PINNs using hash encoding",2023,arXiv,"通用/理论","编码","Hash Encoding"
"Ensemble learning for PINNs",2023,arXiv,"通用/理论","集成","Ensemble"
"On the limitations of physics-informed deep learning",2023,arXiv,"通用/理论","局限","Limitation Analysis"
"Achieving high accuracy via energy natural gradients",2023,arXiv,"通用/理论","优化","Natural Gradient"
"Implicit stochastic gradient descent",2023,arXiv,"通用/理论","优化","Implicit SGD"
"NSGA-PINN: Multi-objective optimization",2023,arXiv,"通用/理论","多目标","NSGA-II"
"Improving PINNs with meta-learned optimization",2024,JMLR,"通用/理论","元学习","Meta-Opt"
"Separable physics-informed neural networks",2023,NeurIPS,"通用/理论","效率","Separable"
"MetaPhysiCa: OOD robustness",2023,arXiv,"通用/理论","鲁棒性","Meta-Learning"
"iPINNs: Incremental learning",2023,arXiv,"通用/理论","增量学习","Incremental"
"Provably correct PINNs",2023,arXiv,"通用/理论","理论","Proof"
"Residual-based error bound",2023,arXiv,"通用/理论","误差","Error Bound"
"Automatic boundary fitting framework",2023,CMAME,"通用/理论","几何","Fitting"
"Solving multi-scale elliptic PDEs by Fourier-based mixed PINNs",2023,arXiv,"通用/理论","多尺度","Fourier"
"Gradient descent finds global optima",2023,ICML,"通用/理论","理论","Global Optima"
"Residual-based attention in PINNs",2024,CMAME,"通用/理论","Attention","Attention"
"Auxiliary-tasks learning for PDE solving",2023,arXiv,"通用/理论","训练","Auxiliary Task"
"Tackling curse of dimensionality",2023,arXiv,"通用/理论","高维","Analysis"
"Tensor-compressed training",2023,arXiv,"通用/理论","效率","Tensor Train"
"How to select PINNs without ground truth",2023,ICML,"通用/理论","模型选择","Pareto"
"Learning only on boundaries",2023,arXiv,"通用/理论","边界","Boundary Integral"
"Correcting model misspecification",2024,CMAME,"通用/理论","模型误差","Correction"
"On residual minimization failure",2023,arXiv,"通用/理论","失效","Failure"
"PINNs-TF2: Fast library",2023,NeurIPS,"通用/理论","工具","Library"
"Filtered PDEs",2023,arXiv,"通用/理论","滤波","Filtered"
"Enhanced PINNs with domain scaling",2023,arXiv,"通用/理论","缩放","Scaling"
"PINNs for transformed geometries",2023,arXiv,"通用/理论","几何","Manifold"
"Neuro-PINN hybrid framework",2023,IJNME,"通用/理论","混合","Hybrid"
"Exactly conservative PINNs",2023,arXiv,"通用/理论","守恒","Conservative"
"Semi-analytic PINN methods",2023,arXiv,"通用/理论","半解析","Semi-analytic"
"PICL: Contrastive learning",2024,arXiv,"通用/理论","对比学习","Contrastive"
"Fourier warm start",2024,EAAI,"通用/理论","初始化","Warm Start"
"Preconditioning for PINNs",2024,ICML,"通用/理论","优化","Preconditioner"
"RBF-PINN",2024,arXiv,"通用/理论","编码","RBF"
"Score-based PINNs",2024,arXiv,"通用/理论","高维","Score Matching"
"Exact enforcement of temporal continuity",2024,arXiv,"通用/理论","时间","Continuity"
"Anti-derivatives approximator",2024,CMAME,"通用/理论","逼近","Anti-derivative"
"GMC-PINNs",2024,arXiv,"通用/理论","蒙特卡洛","GMC"
"CEENs: Causality-enforced",2024,CMAME,"通用/理论","因果","Evolutionary"
"PTPI-DL-ROMs",2024,arXiv,"通用/理论","降阶","ROM"
"Closed-form symbolic solutions",2024,arXiv,"通用/理论","符号","Symbolic"
"RoPINN: Region optimized",2024,arXiv,"通用/理论","局部","Region"
"Interface PINNs",2024,CMAME,"通用/理论","界面","Interface"
"Parameterized PINNs",2024,ICML,"通用/理论","参数化","Parametric"
"Backward compatible PINNs",2024,PoF,"通用/理论","兼容","Backward"
"How does PDE order affect convergence",2024,NeurIPS,"通用/理论","理论","Order Analysis"
