目标方程 (Target Equation),论文标题 (Title),年份,期刊/会议,分类 (GitHub Category)
通用/理论 (General),CoPINN: Cognitive physics-informed neural networks,2025,ICML,2.1 PINN (基础)
通用/理论 (General),CuPINN: Optimizing PINNs through curvature minimization,2025,CMAME,2.1 PINN (基础)
通用/理论 (General),Gradient Alignment in Physics-informed Neural Networks,2025,NeurIPS,2.1 PINN (基础)
通用/理论 (General),Hybrid Finite-Difference PINN (HFD-PINN),2025,AIAA,2.1 PINN (基础)
通用/理论 (General),PINNsFormer: A Transformer-Based Framework For Physics-Informed Neural Networks,2024,Springer,3.14 Transformer
通用/理论 (General),SGM-PINN: Sampling Graphical Models for Faster Training,2024,DAC,3.5 采样策略
通用/理论 (General),Multi-head physics-informed neural networks for learning functional priors,2025,JCP,3.12 不确定性量化
通用/理论 (General),Physics-Informed Neural Networks (PINN) for Advanced Thermal Profile Prediction,2025,Preprints,4.12 能源
【空白方向】不确定性 (Uncertainty),A Conformal Prediction Framework for Uncertainty Quantification in PINNs,2025,arXiv,3.12 不确定性量化
【空白方向】不确定性 (Uncertainty),Conformalized Physics-Informed Neural Networks,2024,OpenReview,3.12 不确定性量化
【空白方向】几何结构 (Geometry),Discrete Exterior Calculus (DEC) in general triangulations,2018,arXiv,(数学基础)
【空白方向】几何结构 (Geometry),A simple and complete discrete exterior calculus on general polygonal meshes,2021,ScienceDirect,(数学基础)
【空白方向】符号回归 (Symbolic),PhysPDE: Rethinking PDE Discovery and a Physical Hypothesis Selection Benchmark,2025,ICLR,2.11 识别/发现
